57 couples formed
boy:DNQBOLQ girl:IDIRJKW
boy:YNYQVNT girl:WROKXKQ
boy:HPBFNNO girl:NKXPHTQ
boy:BEXJSNL girl:KFWTUET
boy:EDBOBPM girl:WHBTSTS
boy:PYRLLKO girl:JILXVXG
boy:PKTBAOC girl:WEMDHUJ
boy:LIHCPRK girl:MFCXJKU
boy:MUJNCIG girl:MDLFTUH
boy:BATNWFX girl:AIRMRNX
boy:DTLENPA girl:IXBRSKU
boy:LDLERAE girl:DDTOAPI
boy:VJMXXGF girl:MVVVKKR
boy:CAOLBRU girl:PWIPNMJ
boy:YMITYEN girl:VWCUNRK
boy:GJEEEIN girl:NPEDQXM
boy:NWGNWVN girl:UMLNKNS
boy:VMSYEYA girl:ABPFVBO
boy:QHJMANK girl:RXDFSRB
boy:WHIUMIU girl:IRJFODJ
boy:DEREACG girl:TYHHDGC
boy:MQQTODQ girl:DJCQGOC
boy:RKBCLRC girl:JLWTXED
boy:AKWGPWL girl:NTSBOWV
boy:AYBURWW girl:EWGBBSQ
boy:YRNHPLJ girl:OHCXDXG
boy:YOOASTU girl:JSHBSWB
boy:CBAVHLL girl:WVBWPBU
boy:KELOXXH girl:KWUKUWL
boy:FKBSDDY girl:KWLEBXM
boy:UMDLSWQ girl:TPFYXCB
boy:SGWKUYO girl:UAAEYGL
boy:BLEFWPE girl:XSLYYNJ
boy:RMUIAPU girl:QIHGHSK
boy:KOAJJTO girl:BMHBPUV
boy:WDXAFML girl:GOXYRDX
boy:IRMRLXP girl:CHLINOV
boy:CPDNEGT girl:ULHMGQM
boy:ORCFVVF girl:RWQSICO
boy:PQHBQBK girl:DQBSJQQ
boy:VCASJWS girl:WUFKTOT
boy:JIPPWES girl:PIAGRCJ
boy:MMOQYHH girl:VHSFYPV
boy:FYLUDFL girl:SFYSSRK
boy:VKMVVYY girl:SEXLXDP
boy:KOKCREL girl:QSILQUA
boy:KGJAFBW girl:WJYBEDO
boy:RCTIMUR girl:COJBRCQ
boy:FEHUGNJ girl:SXMFHLJ
boy:WGRHOTS girl:BMVNIHT
boy:XSPQAMA girl:BBHKUYH
boy:YEIXRRA girl:FWBGQDR
boy:YHKJWSV girl:LORNCAJ
boy:XKELLYT girl:WHOPRPX
boy:YYLCCWC girl:OBTXVMG
boy:TJEOWRE girl:PJKHQER
boy:TXOTTVI girl:JULADVF
